ShiftID,Location,WeekDay,StartTime,EndTime,ShiftTime
1,ARC-Cons,Monday,1/14/19 12:30 PM,1/14/19 5:00 PM,12:30 PM - 5:00 PM
2,ARC-Cons,Monday,1/14/19 8:45 AM,1/14/19 12:30 PM,8:45 AM - 12:30 PM
3,ARC-Cons,Monday,1/14/19 9:00 AM,1/14/19 1:00 PM,9:00 AM - 1:00 PM
4,ARC-Cons,Monday,1/14/19 1:00 PM,1/14/19 5:00 PM,1:00 PM - 5:00 PM
5,ARC-Sups,Monday,1/14/19 8:45 AM,1/14/19 12:30 PM,8:45 AM - 12:30 PM
6,ARC-Sups,Monday,1/14/19 12:30 PM,1/14/19 5:00 PM,12:30 PM - 5:00 PM
7,ARC-Sups,Monday,1/14/19 1:00 PM,1/14/19 5:00 PM,1:00 PM - 5:00 PM
8,ARC-Sups,Monday,1/14/19 9:00 AM,1/14/19 1:00 PM,9:00 AM - 1:00 PM
9,RBHS-Cons,Monday,1/14/19 12:30 PM,1/14/19 5:00 PM,12:30 PM - 5:00 PM
10,RBHS-Cons,Monday,1/14/19 8:45 AM,1/14/19 12:30 PM,8:45 AM - 12:30 PM
11,ARC-Cons,Tuesday,1/15/19 8:45 AM,1/15/19 12:30 PM,8:45 AM - 12:30 PM
12,ARC-Cons,Tuesday,1/15/19 12:30 PM,1/15/19 5:00 PM,12:30 PM - 5:00 PM
13,ARC-Cons,Tuesday,1/15/19 1:00 PM,1/15/19 5:00 PM,1:00 PM - 5:00 PM
14,ARC-Cons,Tuesday,1/15/19 9:00 AM,1/15/19 1:00 PM,9:00 AM - 1:00 PM
15,ARC-Sups,Tuesday,1/15/19 12:30 PM,1/15/19 5:00 PM,12:30 PM - 5:00 PM
16,ARC-Sups,Tuesday,1/15/19 8:45 AM,1/15/19 12:30 PM,8:45 AM - 12:30 PM
17,ARC-Sups,Tuesday,1/15/19 1:00 PM,1/15/19 5:00 PM,1:00 PM - 5:00 PM
18,ARC-Sups,Tuesday,1/15/19 9:00 AM,1/15/19 1:00 PM,9:00 AM - 1:00 PM
19,RBHS-Cons,Tuesday,1/15/19 8:45 AM,1/15/19 12:30 PM,8:45 AM - 12:30 PM
20,RBHS-Cons,Tuesday,1/15/19 12:30 PM,1/15/19 5:00 PM,12:30 PM - 5:00 PM
21,ARC-Cons,Wednesday,1/16/19 8:45 AM,1/16/19 12:30 PM,8:45 AM - 12:30 PM
22,ARC-Cons,Wednesday,1/16/19 12:30 PM,1/16/19 5:00 PM,12:30 PM - 5:00 PM
23,ARC-Cons,Wednesday,1/16/19 9:00 AM,1/16/19 1:00 PM,9:00 AM - 1:00 PM
24,ARC-Cons,Wednesday,1/16/19 1:00 PM,1/16/19 5:00 PM,1:00 PM - 5:00 PM
25,ARC-Sups,Wednesday,1/16/19 8:45 AM,1/16/19 12:30 PM,8:45 AM - 12:30 PM
26,ARC-Sups,Wednesday,1/16/19 12:30 PM,1/16/19 5:00 PM,12:30 PM - 5:00 PM
27,ARC-Sups,Wednesday,1/16/19 1:00 PM,1/16/19 5:00 PM,1:00 PM - 5:00 PM
28,ARC-Sups,Wednesday,1/16/19 9:00 AM,1/16/19 1:00 PM,9:00 AM - 1:00 PM
29,RBHS-Cons,Wednesday,1/16/19 8:45 AM,1/16/19 12:30 PM,8:45 AM - 12:30 PM
30,RBHS-Cons,Wednesday,1/16/19 12:30 PM,1/16/19 5:00 PM,12:30 PM - 5:00 PM
31,ARC-Cons,Thursday,1/17/19 8:45 AM,1/17/19 12:30 PM,8:45 AM - 12:30 PM
